"id";"Name";"Name on Shirt";"Teams";"Nationality";"Age";"Height(cm)";"Weight(Kg)";"Stronger foot";"Favorite side";"Reg. Pos.";"Positions";"Injury";"Attack";"Defence";"Body balance";"Stamina";"Top speed";"Responsiveness";"Explosive power";"Dribble accuracy";"Dribble speed";"Short pass accuracy";"Short pass speed";"Long pass accuracy";"Long pass speed";"Shot accuracy";"Shot power";"Free kick accuracy";"Swerve";"Header Accuracy";"Jump";"Ball control";"Mentality";"Keeper skills";"Teamwork";"Form";"Weak foot accuracy";"Weak foot frequency";"P01 Classic No.10";"P02 Anchor Man";"P03 Trickster";"P04 Darting Run";"P05 Mazing Run";"P06 Pinpoint Pass";"P07 Early Cross";"P08 Box to Box";"P09 Cut Back Pass";"P10 Incisive Run";"P11 Long Ranger";"P12 Enforcer";"P13 Goal Poacher";"P14 Dummy Runner";"P15 Free Roaming";"P16 Extra Attacker";"P17 Chasing Back";"P18 Talisman";"P19 Fox in the Box";"P20 Track Back";"P21 Offensive Fullback";"P22 180 Drag";"P23 Flick(Sombrero)";"H01 Attack Minded";"H02 Defence Master";"S01 Weighted Pass";"S02 Double Touch";"S03 Run Around";"S04 PK Taker";"S05 1-touch play";"S06 Outside Curve";"S07 Lunging Tackle";"S08 Diving Header";"S09 Covering";"S10 GK Long Throw";"S11 Penalty Saver";"S12 1-on-1 Keeper";"S13 Long Throw";"S14 Speed Merchant";"S15 Shoulder Feint Skills";"S16 Roulette Skills";"S17 Flip Flap Skills";"S18 Turning Skills";"S19 Scissors Skills";"S20 Flicking Skills";"S21 Step On Skills";"S22 Deft Touch Skills";"S23 Super-Sub";"S24 Long Range Drive";"S25 Flip Flap Skills";"S26 Jumping Volley";"S27 Scissor Kick";"S28 Knuckle Shot";"S29 Heel Flick";
736;DUFF;DUFF;;Ирландия;33;177;75;L;R;RMF; LMF RMF LWF RWF SS;0;79;55;78;83;76;82;84;86;82;78;80;79;79;74;78;73;83;67;70;82;80;50;83;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
737;DELAP;DELAP;;Ирландия;36;183;81;R;R;CMF; LB RB CMF LMF RMF;0;72;63;73;77;73;71;74;74;76;76;75;75;75;65;77;65;72;71;75;73;72;50;84;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
742;CARROLL;CARROLL;;Северная Ирландия;35;188;80;R;R;GK; GK;2;30;84;83;60;63;86;70;50;51;56;58;45;55;40;80;41;41;41;77;45;65;80;65;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
745;A. HUGHES;HUGHES;;Северная Ирландия;32;183;78;R;R;CB; CB LB RB;2;59;82;76;80;77;82;75;74;73;75;77;77;77;62;76;64;65;75;76;75;82;50;87;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
793;GIGGS;GIGGS;;Уэльс;38;180;68;L;R;CMF; CMF LMF AMF LWF SS;0;83;62;74;74;75;74;75;86;82;87;85;89;84;74;77;81;83;70;72;88;82;50;86;4;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;
801;SIMON DAVIES;DAVIES;;Уэльс;33;178;76;R;R;LMF; CMF LMF RMF AMF;1;75;65;74;80;75;77;79;80;78;79;78;83;80;70;81;75;80;66;69;82;74;50;76;3;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
804;BELLAMY;BELLAMY;;Уэльс;33;175;69;R;R;SS; LMF RMF LWF RWF SS;0;85;47;73;86;90;82;87;77;87;74;76;77;77;77;79;73;77;70;79;74;84;50;75;4;6;6;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
811;BARRY;BARRY;;Англия;31;183;79;L;R;DMF; CB LB DMF CMF LMF;1;72;76;84;83;71;80;74;77;75;81;84;85;85;71;80;72;77;70;77;79;76;50;87;7;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
815;BECKHAM;BECKHAM;;Англия;37;183;76;R;R;RMF; DMF CMF RMF AMF SS;2;80;72;75;86;75;80;77;77;75;85;89;98;90;77;84;95;98;68;69;84;87;50;79;6;5;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
816;SCHOLES;SCHOLES;;Англия;37;170;70;R;R;CMF; DMF CMF LMF RMF AMF SS;1;79;64;75;75;67;77;70;83;74;93;85;88;89;72;85;71;72;84;73;83;82;50;92;4;5;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
817;OWEN;OWEN;;Англия;32;173;70;R;R;CF; CF;0;80;35;77;68;76;87;78;83;77;75;74;75;67;84;74;63;65;81;77;84;82;50;77;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
820;FERDINAND;FERDINAND;;Англия;33;191;86;R;R;CB; CWP CB;0;53;89;87;73;71;80;70;75;71;76;80;75;77;55;77;62;60;82;80;79;85;50;81;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
821;P. NEVILLE;P. NEVILLE;;Англия;35;180;76;R;R;RB; LB RB DMF CMF;0;63;73;74;82;74;83;75;75;74;76;84;73;75;66;76;66;65;72;71;75;84;50;86;6;6;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
822;GERRARD;GERRARD;;Англия;32;185;80;R;R;CMF; DMF CMF LMF RMF AMF SS;0;83;69;83;81;74;75;71;80;75;83;92;91;92;75;91;76;76;83;76;82;92;50;85;4;6;6;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
823;DYER;DYER;;Англия;33;173;64;R;R;CMF; LB RB CMF LMF RMF AMF LWF RWF;0;75;50;73;70;81;76;82;80;81;77;77;77;74;73;77;67;75;65;80;78;73;50;72;2;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
826;JOE COLE;J. COLE;;Англия;30;175;76;R;R;AMF; LMF RMF AMF LWF RWF SS;0;77;52;77;77;78;74;84;87;86;85;85;83;83;72;76;71;75;63;78;86;70;50;72;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;
830;QUIM;QUIM;;Португалия;36;182;80;R;R;GK; GK;1;30;83;79;62;75;87;80;56;61;60;57;66;69;45;83;45;45;55;82;58;80;80;75;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
847;SIMÃO;SIMAO;;Португалия;32;174;70;R;R;LMF; LMF RMF AMF LWF RWF SS;0;83;55;74;76;77;74;81;86;84;82;77;84;83;80;84;85;86;67;74;86;78;50;80;6;6;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;
852;CASILLAS;CASILLAS;;Испания;31;185;84;L;R;GK; GK;2;30;98;81;60;75;97;79;56;57;58;59;59;64;45;75;45;45;55;85;47;91;95;78;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
856;MANUEL PABLO;M. PABLO;;Испания;36;176;80;R;R;RB; LB RB;1;67;70;75;78;75;77;75;73;74;73;71;73;70;58;74;55;62;70;74;72;82;50;80;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
865;PUYOL;PUYOL;;Испания;34;178;80;R;R;CB; CB LB RB;1;58;94;86;83;80;90;81;74;75;73;74;73;72;63;78;61;61;79;90;75;95;50;86;7;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
866;XAVI;XAVI;;Испания;32;170;68;R;R;CMF; DMF CMF LMF RMF AMF;2;86;68;74;90;74;78;83;90;76;98;95;90;84;73;78;79;82;70;73;95;80;50;98;8;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
884;ANELKA;ANELKA;;Франция;33;185;77;R;R;SS; LWF RWF SS CF;2;88;32;80;77;82;83;78;86;77;80;75;79;78;84;84;72;70;74;84;88;67;50;80;5;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
892;GIULY;GIULY;;Франция;36;164;62;R;R;SS; RMF RWF SS;1;83;39;66;73;76;83;82;80;83;80;77;81;77;80;74;68;72;66;72;78;85;50;85;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
925;C. SEEDORF;SEEDORF;;Нидерланды;36;177;80;R;R;AMF; DMF CMF LMF RMF AMF SS;2;80;64;83;78;73;74;73;84;76;87;84;84;83;70;87;74;80;72;74;87;75;50;85;4;6;5;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;
935;BOUMA;BOUMA;;Нидерланды;34;178;81;L;R;CB; CB LB DMF LMF LWF;0;66;77;79;75;74;73;68;78;70;80;78;81;78;71;82;77;82;72;73;78;76;50;70;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
970;TOTTI;TOTTI;;Италия;36;180;82;R;R;SS; CMF AMF LWF RWF SS CF;1;92;31;82;76;75;76;75;91;75;91;82;93;79;90;85;88;85;77;73;91;85;50;82;7;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;
977;AMBROSINI;AMBROSINI;;Италия;35;182;72;R;R;DMF; CB DMF CMF CF;1;65;79;84;82;74;82;74;74;74;76;80;75;77;70;77;64;63;87;85;75;82;50;83;6;7;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
983;BUFFON;BUFFON;;Италия;34;191;83;R;R;GK; GK;1;30;98;87;62;73;96;75;62;57;62;63;63;63;45;78;45;45;55;86;60;82;98;73;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
998;JAROŠÍK;JAROSIK;;Чехия;34;196;92;R;R;CB; CB DMF CMF LMF RMF AMF CF;2;68;76;86;79;74;78;69;75;74;73;74;78;79;67;85;71;70;78;75;71;74;50;82;6;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1001;ROSICKÝ;ROSICKY;;Чехия;31;178;65;R;R;AMF; CMF LMF RMF AMF LWF RWF;0;80;57;72;77;75;75;82;86;81;87;85;83;82;70;78;73;77;73;74;88;70;50;80;3;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
1036;ROMMEDAHL;ROMMEDAHL;;Дания;34;177;68;R;R;RWF; RMF RWF;0;75;53;70;75;83;72;85;84;83;78;80;82;85;75;77;73;73;72;70;82;72;50;75;6;5;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1049;SØRENSEN;SORENSEN;;Дания;36;196;89;R;R;GK; GK;1;35;82;78;62;63;90;70;57;55;50;63;51;67;45;75;45;45;55;76;54;68;80;66;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1066;RIISE;RIISE;;Норвегия;32;188;82;L;R;LB; CB LB LMF;2;76;62;83;82;80;77;76;77;80;75;83;78;95;72;90;80;70;68;78;78;79;50;76;6;4;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1070;CAREW;CAREW;;Норвегия;33;193;88;R;R;CF; LMF RMF LWF RWF SS CF;0;80;53;87;77;80;74;73;79;80;74;73;73;74;74;82;72;65;75;72;81;68;50;78;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1075;MELLBERG;MELLBERG;;Швеция;35;187;85;R;R;CB; CWP CB RB;1;56;84;85;75;73;76;67;72;69;72;70;73;80;63;84;72;63;85;78;73;82;50;77;6;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1086;A. SVENSSON;SVENSSON;;Швеция;36;177;80;R;R;CMF; DMF CMF AMF;1;72;66;75;80;74;82;73;83;75;83;80;81;77;80;81;82;83;71;68;85;76;50;83;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
1104;FORSSELL;FORSSELL;;Финляндия;31;178;68;R;R;CF; CF;1;76;40;78;75;81;78;80;75;77;72;72;71;69;75;80;64;60;77;78;78;74;50;75;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1115;JÄÄSKELÄINEN;JAASKELAINEN;;Финляндия;37;191;81;R;R;GK; GK;2;30;84;79;61;70;89;75;50;55;54;64;66;76;45;84;45;45;55;85;56;77;79;70;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1182;KIRÁLY;KIRALY;;Венгрия;36;191;85;R;R;GK; GK;2;30;80;84;57;63;87;64;55;53;57;56;66;71;45;80;45;45;55;73;54;75;83;71;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1203;BABOS;BABOS;;Венгрия;37;196;92;R;R;GK; GK;2;30;83;85;60;66;86;74;51;50;55;50;62;66;40;77;43;43;44;74;48;73;85;71;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1225;PLETIKOSA;PLETIKOSA;;Хорватия;33;193;83;R;R;GK; GK;1;30;83;85;58;67;86;66;58;57;62;61;63;65;45;82;45;45;55;81;60;75;81;70;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1255;DEJAN STANKOVIĆ;D. STANKOVIC;;Сербия;34;181;75;R;R;AMF; DMF CMF LMF RMF AMF SS;1;79;64;78;82;77;77;75;82;76;81;82;81;78;79;86;76;76;81;79;84;82;50;88;5;5;6;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
1275;CHIVU;CHIVU;;Румыния;31;184;81;L;R;CB; CWP CB LB DMF CMF;1;68;84;80;78;73;80;74;79;78;82;86;83;82;69;82;85;87;72;82;80;77;50;85;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1287;MUTU;MUTU;;Румыния;33;180;74;R;R;SS; LMF RMF AMF LWF RWF SS CF;1;83;40;76;75;78;76;75;87;82;78;77;80;82;85;81;83;85;79;77;84;58;50;66;4;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;
1290;LOBONŢ;LOBONT;;Румыния;34;185;78;R;R;GK; GK;1;30;84;80;60;66;88;70;53;59;56;61;56;67;45;81;45;45;40;78;54;75;84;71;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
